,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1963-64,27,TOT,NBA,,3,6,5,6,8,,5,10
1963-64,27,CIN,NBA,,3,6,5,6,8,,5,10
Career,,,,,3,6,5,6,8,,5,10
