Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Larry Staverman,,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA
Rodney Carney,84.0,1.6,1.5,1.5,1.3,0.3,NA,NA,NA,NA
Marc Iavaroni,80.8,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA
Michael Ruffin,78.3,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
John Wallace,78.2,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA
Major Jones,76.7,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA
Togo Palazzi,75.2,2,1.7,1.6,0.8,0.6,-0.2,NA,NA,NA
Jerry Chambers,75.1,1.5,1.4,1.3,1.1,0,0,NA,NA,NA
Jeff Grayer,74.1,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1
Lance Thomas,73.4,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4,NA
Quincy Acy,72.2,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA
