,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,22,CIN,NBA,,9,,6,8,,,,19
1959-60,23,CIN,NBA,,4,,4,5,,,5,11
1960-61,24,CIN,NBA,,7,,6,,,,,17
1962-63,26,CHZ,NBA,,7,,5,6,,,6,19
1963-64,27,TOT,NBA,,9,,5,7,,,,21
1963-64,27,BAL,NBA,,3,,4,6,,,,6
1963-64,27,DET,NBA,,9,,5,7,,,,21
1963-64,27,CIN,NBA,,5,,4,5,,,,10
Career,,,,,9,,6,,,,,21
4 Seasons,,CIN,NBA,,9,,6,,,,,19
2 Seasons,,"BAL,CHZ",NBA,,7,,5,6,,,,19
1 Season,,DET,NBA,,9,,5,7,,,,21
