Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tracy Moore,,0.6,0.5,0.3,0.3,0.1
Keith McLeod,74.3,0.8,0.6,0.3,0.2,NA
Mario West,73.4,0.5,0.4,0.3,0.2,NA
DeAndre Liggins,67.3,0.6,0.5,0.5,0,0
Morlon Wiley,67.3,0.9,0.5,0.2,0.1,0.1
JaKarr Sampson,65.8,0.8,0.6,0.5,0.1,NA
K.J. McDaniels,65.4,0.6,0.5,0.2,NA,NA
Royal Ivey,63.8,0.9,0.7,0.5,0.3,0.2
Gerald Glass,63.4,0.9,0.5,0.3,0.1,NA
Pace Mannion,61.7,0.9,0.4,0.3,0.2,-0.2
Acie Law,58.4,0.7,0.6,0.4,-0.1,NA
