Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,24,ORL,NBA,PG,4,0,56,6,21,0.286,0,3,0,6,18,0.333,0.286,5,6,0.833,5,4,9,9,1,0,3,3,17
2001-02,25,ORL,NBA,PG,4,0,106,18,48,0.375,0,5,0,18,43,0.419,0.375,15,16,0.938,0,4,4,6,0,0,8,4,51
2002-03,26,MIN,NBA,PG,6,6,221,44,106,0.415,17,39,0.436,27,67,0.403,0.495,36,38,0.947,1,11,12,33,8,0,16,5,141
Career,NA,,NBA,,14,6,383,68,175,0.389,17,47,0.362,51,128,0.398,0.437,56,60,0.933,6,19,25,48,9,0,27,12,209
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ORL,NBA,,8,0,162,24,69,0.348,0,8,0,24,61,0.393,0.348,20,22,0.909,5,8,13,15,1,0,11,7,68
1 season,NA,MIN,NBA,,6,6,221,44,106,0.415,17,39,0.436,27,67,0.403,0.495,36,38,0.947,1,11,12,33,8,0,16,5,141
