Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Troy Hudson,,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0,-0.1,-0.2
Darrick Martin,85.4,4.6,1.9,1.3,0.7,0.5,0.4,0.2,0.1,0.1,0,-0.2
Ed Fleming,83.1,5,2,1.2,1,0.8,NA,NA,NA,NA,NA,NA
Kevin Edwards,79.5,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2
Matt Maloney,79.3,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA,NA,NA
Johnny Neumann,78.6,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA,NA,NA
Pep Saul,78.3,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA,NA
Rick Mount,77.3,4.6,3.5,1.1,0.7,0.6,NA,NA,NA,NA,NA,NA
Brandon Knight,76.2,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA
Gene Vance,76.2,5.3,2.2,1.6,1.3,0,NA,NA,NA,NA,NA,NA
Jason Hart,75.1,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3,NA,NA
