Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Greg Kelser,,3.9,2.5,1.4,0.8,0.1,0,NA
Ime Udoka,92.8,3.9,2.8,1.3,0.8,0,0,0
Trey Lyles,92.7,3.9,2.3,1.2,0.8,NA,NA,NA
Boštjan Nachbar,90.1,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Mike Sweetney,89.6,3.8,2.1,1.4,0.4,NA,NA,NA
George Trapp,88.7,3.5,2.4,1.5,1,0.1,-0.2,NA
Rondae Hollis-Jefferson,88.6,4.1,2.6,1.2,1.2,NA,NA,NA
Zeke Zawoluk,87.4,3.9,2.5,1.7,NA,NA,NA,NA
Darren Daye,86.5,3.8,2.4,1.3,1.2,0.6,NA,NA
Tony Jaros,85.5,4.4,2.2,1.3,0.6,NA,NA,NA
Don Boven,84.3,3.8,2.2,1.5,NA,NA,NA,NA
