Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Greg Kelser,,3.9,2.5,1.4,0.8,0.1,0
Ime Udoka,93.0,3.9,2.8,1.3,0.8,0,0
Trey Lyles,92.7,3.9,2.3,1.2,0.8,NA,NA
Boštjan Nachbar,90.1,4.1,2.2,1.7,0.8,0.1,-0.1
Mike Sweetney,89.6,3.8,2.1,1.4,0.4,NA,NA
George Trapp,88.7,3.5,2.4,1.5,1,0.1,-0.2
Rondae Hollis-Jefferson,88.6,4.1,2.6,1.2,1.2,NA,NA
Zeke Zawoluk,87.4,3.9,2.5,1.7,NA,NA,NA
Corey Brewer,86.8,3.9,2.3,1.1,1,0.3,-0.2
Darren Daye,86.5,3.8,2.4,1.3,1.2,0.6,NA
Tony Jaros,85.5,4.4,2.2,1.3,0.6,NA,NA
