,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2017-18,20,TOR,NBA,SF,74,1481,.471,14.5,.431,.353,.049,.014,.014,.569,.604,.697,.235,.200,.000,.371,.711,.136,42,.945,.528,.452,0,0
2018-19,21,TOR,NBA,SF,67,1352,.453,14.0,.500,.347,.109,.022,.022,.500,.574,.693,.273,.333,.444,.332,.491,.114,39,.985,.465,.266,0,0
2019-20,22,TOR,NBA,SF,63,1897,.507,11.6,.592,.454,.108,.021,.009,.408,.593,.686,.281,.364,.200,.381,.643,.156,79,.951,.488,.371,0,0
Career,,,NBA,,204,4730,.480,13.2,.519,.392,.092,.020,.015,.481,.590,.691,.271,.320,.263,.362,.614,.137,160,.959,.493,.366,0,0
