Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ralph Sampson,,6.2,6,5,2.2,1.1,0.6,-0.2,-0.3,-0.6
Darrall Imhoff,83.5,5.9,5,4.9,2.4,2.1,0.7,0.7,0,-0.6
Bob Rule,81.4,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0,NA
Nikola Peković,80.9,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA,NA
Kendrick Perkins,80.7,6.2,5.6,5.2,2.3,2,1.4,1,0.7,0.1
Gene Moore,78.9,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA
Joel Przybilla,78.2,6.6,4.7,4.3,2.3,1.9,0.6,0.3,0.1,0.1
Gorgui Dieng,77.5,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA
Scot Pollard,75.3,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1,0.9
Jamaal Magloire,74.1,7.6,6.7,5.7,2.6,2,1.3,1.1,0.3,-0.6
Don Otten,74.1,8.5,5.8,4.9,1.7,NA,NA,NA,NA,NA
