Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joe Bryant,,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0
Ryan Bowen,88.6,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.2
Ed Manning,84.6,4.3,2.2,2.2,1.7,1.5,1.4,1.4,-0.3
Bill Willoughby,83.4,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9
Wally Walker,83.3,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1
Darrell Arthur,83.0,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3
Brad Lohaus,81.9,3.3,2.7,2.7,1.8,1.5,0.9,0.9,0.1
Tim Bassett,81.2,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA
Corky Calhoun,81.1,3.1,2.5,2.3,2.2,2.1,1.3,1,0
Steve Kuberski,80.4,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2
Mark Landsberger,79.9,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
