Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Joe Bryant,,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0,NA,NA
Ryan Bowen,85.1,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1
Damien Wilkins,83.8,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1
Bill Willoughby,83.4,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA
Wally Walker,83.3,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1,NA,NA
Ed Manning,83.1,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3,NA
Darrell Arthur,82.9,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0,NA
Ed Nealy,81.5,4.7,2,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3
Tim Bassett,81.2,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA,NA
Corky Calhoun,81.1,3.1,2.5,2.3,2.2,2.1,1.3,1,0,NA,NA
Steve Kuberski,80.1,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA
