Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Tony Campbell,,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Corey Brewer,89.2,5.2,3.9,3.1,2.3,2.3,1.2,1.2,1.1,1,0.3,-0.2
Glen Davis,87.9,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
Andrea Bargnani,87.7,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA
Earl Lloyd,87.0,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA
Lamond Murray,86.0,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
Kwame Brown,83.9,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.1,-0.1
Jackie Moreland,83.8,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA,NA,NA
James Jones,83.6,4.7,4,3.7,2.5,2.2,1.7,1,0.9,0.7,0.2,0
Shandon Anderson,83.5,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA
Stromile Swift,83.5,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA
