Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1963-64,23,CIN,NBA,PF,1,1,36:00,3,6,0.5,5,6,0.833,NA,8,0,NA,NA,5,11
1964-65,24,CIN,NBA,PF,1,1,35:00,12,19,0.632,1,1,1,NA,10,1,NA,NA,2,25
1965-66,25,CIN,NBA,PF,1,1,23:00,4,11,0.364,2,2,1,NA,19,0,NA,NA,2,10
1966-67,26,CIN,NBA,PF,1,0,22:00,3,5,0.6,1,1,1,NA,7,2,NA,NA,3,7
1967-68,27,CIN,NBA,PF,1,1,21:00,6,9,0.667,4,4,1,NA,5,4,NA,NA,3,16
1968-69,28,CIN,NBA,PF,1,1,17:00,2,5,0.4,4,5,0.8,NA,6,1,NA,NA,3,8
1970-71,30,SFW,NBA,PF,1,1,29:00,5,9,0.556,2,2,1,NA,9,4,NA,NA,2,12
Career,NA,,NBA,,7,6,183,35,64,0.547,19,21,0.905,NA,64,12,NA,NA,20,89
