,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,23,CIN,NBA,,10,20,5,9,,,25,,,,,25
1964-65,24,CIN,NBA,,14,23,7,8,,,27,5,,,5,35
1965-66,25,CIN,NBA,,10,,9,10,,,27,,,,,27
1966-67,26,CIN,NBA,,8,21,1,1,,,25,3,,,4,17
1970-71,30,SFW,NBA,,14,,4,5,,,,,,,,32
1971-72,31,NYK,NBA,,13,22,9,10,,,16,11,,,6,26
1972-73,32,NYK,NBA,,8,15,5,6,,,14,7,,,5,16
1973-74,33,NYK,NBA,,2,6,0,2,,,6,5,,,2,4
Career,,,,,14,,9,10,,,,,,,,35
3 Seasons,,NYK,NBA,,13,22,9,10,,,16,11,,,6,26
4 Seasons,,CIN,NBA,,14,,9,10,,,27,,,,,35
1 Season,,SFW,NBA,,14,,4,5,,,,,,,,32
