Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jerry Lucas,,12.7,11.2,10.5,10.1,9.9,9.5,8.1,7.9,7.8,7.3,3.4
Larry Nance,96.1,12.2,10.5,10.3,10.2,9.8,9.8,8.4,8,7.9,6.5,2.4
Elvin Hayes,93.3,12.5,12.1,10.6,9.6,9.4,8.5,8.3,8.1,7.8,7.6,7.3
Chet Walker,92.8,14.5,10.9,10.9,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7
Horace Grant,91.7,14.1,10.3,10,9.5,9.1,8,8,7.7,7.1,6.4,4.2
Kevin McHale,91.6,14.8,11.1,11,11,10.5,10.2,10.1,7.9,7.5,7.5,4.7
Dominique Wilkins,91.6,12.2,11.4,11.1,10.8,10.5,10.4,9.8,7.6,7,5.8,5.1
Paul Pierce,90.0,12.9,12.4,11.5,11.2,10.4,10.3,10.1,8.2,7.1,5.4,4.9
Chris Bosh,89.9,10.3,10.1,9.8,9.7,9.6,9.6,9,8,6.9,6.8,6.2
Bobby Jones,89.5,11,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6,4.8
Bailey Howell,88.8,14,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,3.1
