,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,23,CIN,NBA,,13,,11,14,,,,,,,,34
1964-65,24,CIN,NBA,,16,,14,15,,,,,,,,37
1965-66,25,CIN,NBA,,17,,10,12,,,35,,,,,38
1966-67,26,CIN,NBA,,14,,8,11,,,,,,,,35
1967-68,27,CIN,NBA,,16,,13,14,,,,,,,,41
1968-69,28,CIN,NBA,,15,,10,12,,,,,,,,34
1969-70,29,TOT,NBA,,14,26,11,14,,,28,,,,6,35
1969-70,29,CIN,NBA,,7,12,2,3,,,16,,,,4,15
1969-70,29,SFW,NBA,,14,26,11,14,,,28,9,,,6,35
1970-71,30,SFW,NBA,,15,,14,16,,,,,,,,33
1971-72,31,NYK,NBA,,15,,10,12,,,,,,,,32
1972-73,32,NYK,NBA,,11,,11,12,,,,,,,,27
1973-74,33,NYK,NBA,,7,,5,6,,,,,,,,17
Career,,,,,17,,14,16,,,,,,,,41
7 Seasons,,CIN,NBA,,17,,14,15,,,,,,,,41
3 Seasons,,NYK,NBA,,15,,11,12,,,,,,,,32
2 Seasons,,SFW,NBA,,15,,14,16,,,,,,,,35
