,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,20,NOP,NBA,PF,17,199,,,,87%,13%,-11.4,-10.0,1,5,9,1,10,1,10,1,3
2017-18,21,NOP,NBA,PF,52,581,,,,76%,24%,-7.3,-10.6,5,5,40,14,32,1,45,8,15
2018-19,22,NOP,NBA,PF,64,896,,,1%,74%,26%,-4.6,-4.3,14,16,64,12,30,4,81,9,20
2019-20,23,PHO,NBA,C,44,467,,,,18%,82%,-6.2,-6.0,12,6,33,4,16,3,50,3,11
Career,,,NBA,,177,2143,,,,64%,36%,-6.3,-6.9,32,32,146,31,88,9,186,21,49
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOP,NBA,,133,1676,,,,76%,23%,-6.3,-7.1,20,26,113,27,72,6,136,18,38
1 season,,PHO,NBA,,44,467,,,,18%,82%,-6.2,-6.0,12,6,33,4,16,3,50,3,11
