Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Cheick Diallo,,2.6,1.9,0.5,NA,NA,NA,NA
Dave Sorenson,92.6,2.6,2.1,0.7,NA,NA,NA,NA
Jim Palmer,89.1,2.4,1.9,0.2,NA,NA,NA,NA
Juan Hernangómez,89.0,3,1.8,0.4,NA,NA,NA,NA
Carey Scurry,88.7,2.6,1.8,0.9,NA,NA,NA,NA
Al Eberhard,87.6,2.6,1.8,0.9,0,NA,NA,NA
Joe Holup,84.3,2.1,1.8,0.3,NA,NA,NA,NA
Sam Pellom,83.6,2.2,1.8,0.7,0,NA,NA,NA
Bob Bedell,81.9,2.4,2.2,0.8,0.1,NA,NA,NA
Alaa Abdelnaby,80.5,2.1,2,0.5,0.3,-0.1,NA,NA
Stanislav Medvedenko,78.8,3,1.8,0.5,0.4,0.2,0.1,0
