Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,24,BOS,BAA,NA,43,NA,NA,NA,NA,0.239,NA,NA,0.632,NA,NA,NA,NA
1948-49,25,BOS,BAA,NA,56,NA,NA,NA,NA,0.333,NA,NA,0.713,NA,NA,NA,NA
1949-50,26,TOT,NBA,NA,49,NA,NA,NA,NA,0.296,NA,NA,0.685,NA,NA,NA,NA
1949-50,26,MNL,NBA,NA,23,NA,NA,NA,NA,0.284,NA,NA,0.5,NA,NA,NA,NA
1949-50,26,WAT,NBA,NA,26,NA,NA,NA,NA,0.305,NA,NA,0.75,NA,NA,NA,NA
Career,NA,,TOT,NA,148,NA,NA,NA,NA,0.303,NA,NA,0.692,NA,NA,NA,NA
,NA,,BAA,NA,99,NA,NA,NA,NA,0.305,NA,NA,0.695,NA,NA,NA,NA
,NA,,NBA,NA,49,NA,NA,NA,NA,0.296,NA,NA,0.685,NA,NA,NA,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,BAA,NA,99,NA,NA,NA,NA,0.305,NA,NA,0.695,NA,NA,NA,NA
1 season,NA,WAT,NBA,NA,26,NA,NA,NA,NA,0.305,NA,NA,0.75,NA,NA,NA,NA
1 season,NA,MNL,NBA,NA,23,NA,NA,NA,NA,0.284,NA,NA,0.5,NA,NA,NA,NA
