Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mel Daniels,,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0,NA,NA,NA,NA,NA
Yao Ming,91.2,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,NA,NA,NA,NA,NA,NA
Brad Daugherty,87.0,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA,NA,NA,NA,NA,NA
Andre Drummond,85.1,10.3,10,9.9,7.7,7.4,6.7,4.5,NA,NA,NA,NA,NA,NA,NA
Clyde Lovellette,81.0,10.1,9,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,NA,NA,NA
Swen Nater,80.0,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,NA,NA,NA
Dave Robisch,78.8,10.1,9.1,8.6,8.5,7.8,5.2,5,4.2,2.3,2.3,0.7,0.4,0.1,NA
Dave Cowens,77.5,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA,NA,NA
Marc Gasol,77.5,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6,5.6,4,3.7,NA,NA,NA
Mehmet Okur,77.0,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0,NA,NA,NA,NA
Brad Miller,76.8,10,9.6,9.1,8.6,8.3,6.5,5.1,4,3.8,3.4,3,2.7,2.1,0.2
