,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,MNM,ABA,,16,,0,,,,12,16,,,,,,,,,44
1968-69,24,INA,ABA,,12,,0,,,,9,14,,,,,,,,,32
1969-70,25,INA,ABA,,11,,0,,,,12,21,,,,,,,,,31
1970-71,26,INA,ABA,,14,,0,,,,7,10,,,,,,,,,31
1971-72,27,INA,ABA,,10,,0,,,,9,12,,,,,,,,,29
1972-73,28,INA,ABA,,12,,0,,,,7,8,,,,,,,,,29
1973-74,29,INA,ABA,,13,,0,,,,9,11,,,,,,,,,29
1974-75,30,MMS,ABA,,6,,0,,,,3,5,,,,,,,,,13
Career,,,,,16,,0,,,,12,21,,,,,,,,,44
6 Seasons,,INA,ABA,,14,,0,,,,12,21,,,,,,,,,32
1 Season,,MNM,ABA,,16,,0,,,,12,16,,,,,,,,,44
1 Season,,MMS,ABA,,6,,0,,,,3,5,,,,,,,,,13
