,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,MNM,ABA,,15,,2,,,,15,25,,,,,,,,,43
1968-69,24,INA,ABA,,25,,0,,,,17,23,,,,,,,,,56
1969-70,25,INA,ABA,,16,,0,,,,14,18,,,,,,,,,46
1970-71,26,INA,ABA,,16,,1,,,,13,17,,,,,,,,,35
1971-72,27,INA,ABA,,15,,0,,,,12,21,,,,,,,,,42
1972-73,28,INA,ABA,,17,,1,,,,12,19,,,,,,,,,36
1973-74,29,INA,ABA,,14,,0,,,,10,10,,,,,,,,,34
1974-75,30,MMS,ABA,,9,,0,,,,11,13,,,,,,,,,21
1976-77,32,NYN,NBA,,2,,,,,,5,7,,,,,,,,,7
Career,,,TOT,,25,,,,,,17,25,,,,,,,,,56
,,,NBA,,2,,,,,,5,7,,,,,,,,,7
,,,ABA,,25,,2,,,,17,25,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,
6 Seasons,,INA,ABA,,25,,1,,,,17,23,,,,,,,,,56
1 Season,,MNM,ABA,,15,,2,,,,15,25,,,,,,,,,43
1 Season,,MMS,ABA,,9,,0,,,,11,13,,,,,,,,,21
1 Season,,NYN,NBA,,2,,,,,,5,7,,,,,,,,,7
