Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mel Daniels,,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0
Al Horford,93.0,10.9,10.1,9.4,8.8,8.7,6.8,5.5,2.8,1.3
Yao Ming,91.2,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,NA
Bill Cartwright,87.3,10.1,10,9.8,9.7,6.4,5.8,5,2.1,0
Brad Daugherty,87.0,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA
Marc Gasol,86.1,11.5,10.2,8.4,8.2,7.9,7.7,6.4,5.6,3.7
Alonzo Mourning,86.0,12.9,9.9,9.4,8.4,8.2,7.9,7.5,6.3,0.9
Andre Drummond,85.1,10.3,10,9.9,7.7,7.4,6.7,4.5,NA,NA
Bill Laimbeer,85.0,10.8,10.5,9.8,9.2,9,8.8,8.5,5.4,4.7
Robert Parish,85.0,10.9,10.8,10.5,10,9,7.1,4.8,4.6,4
Dave Robisch,83.9,10.1,9.1,8.6,8.5,7.8,5.2,5,2.3,2.3
