Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Darnell Valentine,,5,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1
Randy Foye,91.1,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1
Dell Curry,88.8,5,3.4,3.3,3.2,2.7,2,1.8,0.9,0.5
Anthony Morrow,88.1,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7
Johnny Egan,87.4,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0
Bill Hanzlik,87.2,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1,0.7
Steve Blake,86.8,5.8,3.8,3.3,2.8,2.1,1.8,1,0.7,0.3
Henry Bibby,86.5,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1
Maurice Evans,86.0,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1
Marcus Thornton,85.3,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA
Chris Childs,85.2,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1
