Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,33,ROC,BAA,,60,NA,NA,124,363,0.342,72,124,0.581,NA,112,188,320
1949-50,34,TOT,NBA,,60,NA,NA,37,149,0.248,25,47,0.532,NA,61,139,99
1949-50,34,ROC,NBA,,5,NA,NA,1,11,0.091,1,1,1,NA,4,10,3
1949-50,34,PHW,NBA,,55,NA,NA,36,138,0.261,24,46,0.522,NA,57,129,96
1953-54,38,SYR,NBA,PF,5,NA,24,0,7,0,1,2,0.5,2,2,9,1
Career,NA,,TOT,,125,NA,24,161,519,0.31,98,173,0.566,2,175,336,420
,NA,,NBA,,65,NA,24,37,156,0.237,26,49,0.531,2,63,148,100
,NA,,BAA,,60,NA,NA,124,363,0.342,72,124,0.581,NA,112,188,320
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ROC,BAA,,65,NA,NA,125,374,0.334,73,125,0.584,NA,116,198,323
1 season,NA,PHW,NBA,,55,NA,NA,36,138,0.261,24,46,0.522,NA,57,129,96
1 season,NA,SYR,NBA,,5,NA,24,0,7,0,1,2,0.5,2,2,9,1
