Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mike Novak,,1.8,0.6,-0.2,NA,NA,NA
John Shasky,89.2,1.9,0.7,-0.1,NA,NA,NA
Chris Anstey,78.9,1.9,0.6,0.3,NA,NA,NA
Audie Norris,74.8,1.9,1.1,-0.1,NA,NA,NA
Josh Harrellson,69.3,1.4,0.7,0,NA,NA,NA
Zendon Hamilton,63.7,1.8,1.1,0.1,0.1,0,0
Ronald Taylor,63.2,1.7,0,-0.2,NA,NA,NA
Bevo Nordmann,61.9,1.7,0.1,0.1,0,NA,NA
LaRue Martin,60.8,1.9,0.4,0.1,-0.4,NA,NA
Gene Tormohlen,60.6,1.4,0.8,0.1,0,0,0
Daniel Santiago,59.8,1.2,0.6,0,0,NA,NA
