,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,33,ROC,BAA,,5,,5,6,,,,14
1949-50,34,TOT,NBA,,5,,4,4,,,,11
1949-50,34,ROC,NBA,,1,,1,2,,,,2
1949-50,34,PHW,NBA,,5,,4,4,,,,11
1953-54,38,SYR,NBA,,0,,1,2,,,4,1
Career,,,TOT,,5,,5,6,,,,14
,,,NBA,,5,,4,4,,,,11
,,,BAA,,5,,5,6,,,,14
,,,,,,,,,,,,
2 Seasons,,ROC,BAA,,5,,5,6,,,,14
1 Season,,PHW,NBA,,5,,4,4,,,,11
1 Season,,SYR,NBA,,0,,1,2,,,4,1
