Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ollie Johnson,,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2
Allan Bristow,90.8,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2
Trevor Booker,90.2,4.3,4.3,3.6,3.1,3,2.9,2.6,2.3,NA,NA
Fred Roberts,89.9,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.2
Dwight Jones,89.8,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6
Jonas Jerebko,89.3,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA
Cliff Robinson,88.7,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3
Vladimir Radmanović,88.3,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,0.8,0
Jason Thompson,88.0,4,3.9,3.6,2.9,2.7,2.7,2.4,1.6,NA,NA
Malik Rose,87.9,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4
Luc Mbah a Moute,87.8,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5
