Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Courtney Lee,,4.8,4.7,4.4,4.2,3.9,3.9,3.3,3.2,3.1,2.7,0.4
T.R. Dunn,92.5,4.9,4.4,4.4,4.1,4,3.7,3.3,3.2,2.4,1.6,1.6
Spud Webb,89.2,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3,2.3,2.2,1.2
Chris Ford,88.8,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,NA
Johnny Davis,87.3,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7,NA
Jason Williams,85.7,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9
Greg Anthony,85.5,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1
Trent Tucker,85.4,4.6,4,4,3.4,3.3,3.3,3,2.9,2.8,1.9,1.1
Jarrett Jack,84.9,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Sherman Douglas,84.2,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,-0.1
Eric Gordon,83.5,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7
