Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Brandon Knight,,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA
Ish Smith,90.9,4.4,3.1,1.7,1.3,1,0.3,-0.1,-0.1,-0.4,NA
Ron Lee,88.7,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA
Lee Winfield,86.3,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA
Al Smith,84.7,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA
Roger Mason,84.5,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Pep Saul,83.4,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA
E'Twaun Moore,83.3,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2,NA,NA
Slick Watts,82.9,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA
Larry Wright,82.6,3.5,2.7,1.8,1.4,1.2,0,NA,NA,NA,NA
Armond Hill,82.5,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA
