Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Brandon Knight,,4.5,2.8,1.7,1.3,1.1,0.3,0
Ron Lee,88.7,3.8,2.8,1.6,1.4,0.8,0.3,NA
E'Twaun Moore,88.3,4.4,2.7,1.8,1.7,0.8,0.2,0.2
Lee Winfield,86.3,4.5,2.8,2.4,1.6,0.5,0.4,-0.1
Martell Webster,85.3,4.4,3.5,1.8,1.5,1.3,0.9,0
Lucious Harris,84.8,4.1,2.8,2.1,1.1,0.8,0.6,0.4
Al Smith,84.7,4.5,3.3,1.8,0.9,0.6,NA,NA
Pep Saul,83.4,4.2,2.8,1.5,0.8,0.6,NA,NA
Slick Watts,82.9,4.7,3.3,2.7,1.2,1.2,0.8,NA
Armond Hill,82.6,4.2,2.6,2.5,1,0.8,0.5,-0.4
Larry Wright,82.6,3.5,2.7,1.8,1.4,1.2,0,NA
