Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Todd Lichti,,1.8,1.3,1.2,1,0.2,NA,NA,NA,NA,NA,NA
Lloyd Walton,88.2,1.9,1.1,1.1,1.1,0.1,NA,NA,NA,NA,NA,NA
Joe Hassett,82.5,2,1.6,1.4,0.9,0.5,0,NA,NA,NA,NA,NA
Nelson Bobb,82.4,2,1.8,1.2,1.1,NA,NA,NA,NA,NA,NA,NA
Justin Anderson,81.6,1.9,1.2,1.1,0.4,NA,NA,NA,NA,NA,NA,NA
Raul Neto,81.5,1.8,1.1,0.9,0.7,NA,NA,NA,NA,NA,NA,NA
Dave Wohl,79.8,2.1,1.7,1.4,1,0.2,0,-0.2,NA,NA,NA,NA
Donnie Butcher,76.8,1.9,1.2,1.1,0.5,-0.3,NA,NA,NA,NA,NA,NA
Rex Walters,76.4,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA,NA,NA
Sergio Rodríguez,76.3,1.7,1.2,0.9,0.7,-0.2,NA,NA,NA,NA,NA,NA
Jannero Pargo,76.1,2,1.3,1.1,0.5,0.2,0.2,0.1,0.1,-0.1,-0.2,-0.3
