Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Todd Lichti,,1.8,1.3,1.2,1,0.2
Lloyd Walton,88.2,1.9,1.1,1.1,1.1,0.1
Rex Walters,86.0,1.6,1.6,1.2,0.9,0.4
Jerry Reynolds,83.9,1.6,1.3,1.3,1,0.9
Joe Hassett,82.9,2,1.6,1.4,0.9,0.5
Juan Dixon,82.8,2,1.7,1.4,1.2,0.1
Tony Smith,82.5,1.7,1.5,1.3,0.5,0.1
Nelson Bobb,82.4,2,1.8,1.2,1.1,NA
Justin Anderson,81.6,1.9,1.2,1.1,0.4,NA
Raul Neto,81.5,1.8,1.1,0.9,0.7,NA
Shelvin Mack,81.2,2.3,1.3,1.3,0.7,0.5
