Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Howie Jolliff,,1.2,-0.2,-0.3
Mike Maloy,86.8,1.3,-0.1,-0.3
Art Long,70.4,1.4,-0.1,-0.3
Georges Niang,69.1,1.3,0,-0.3
LeRon Ellis,58.4,1.6,-0.1,-0.2
Chris King,56.1,1.1,0,-0.1
Michael Young,55.8,1.1,0,0
Glenn McDonald,55.4,1.1,0.2,-0.2
Jeffery Taylor,55.0,1.2,0.3,-0.2
Scott English,50.9,1,0,-0.2
Damjan Rudež,46.5,1.3,0.1,0.1
