Season,Team,Lg,Salary
1990-91,Seattle SuperSonics,NBA,"$350,000"
1991-92,Seattle SuperSonics,NBA,"$430,000"
1992-93,Seattle SuperSonics,NBA,"$650,000"
1993-94,Seattle SuperSonics,NBA,"$750,000"
1994-95,Seattle SuperSonics,NBA,"$1,000,000"
1995-96,Seattle SuperSonics,NBA,"$3,000,000"
1996-97,Seattle SuperSonics,NBA,"$3,300,000"
1997-98,Cleveland Cavaliers,NBA,"$8,600,000"
1998-99,Cleveland Cavaliers,NBA,"$9,740,000"
1999-00,Cleveland Cavaliers,NBA,"$10,780,000"
2000-01,Portland Trail Blazers,NBA,"$11,720,000"
2001-02,Portland Trail Blazers,NBA,"$12,660,000"
2002-03,Portland Trail Blazers,NBA,"$12,621,028"
2002-03,Orlando Magic,NBA,"$1,030,000"
2003-04,Portland Trail Blazers,NBA,"$14,941,935"
Career,(may be incomplete),,"$91,572,963"
