Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,25,SEA,NBA,PG,1,0,17:00,3,4,0.75,0,0,NA,0,0,NA,2,6,9,0,0,0,2,6
1994-95,26,SEA,NBA,PG,1,0,23:00,3,10,0.3,0,3,0,0,0,NA,3,5,15,3,0,3,1,6
1995-96,27,SEA,NBA,PG,1,0,28:00,6,10,0.6,0,1,0,6,6,1,3,5,5,5,0,6,1,18
1996-97,28,SEA,NBA,PG,1,1,28:00,7,15,0.467,1,5,0.2,2,2,1,0,1,10,2,0,4,2,17
1997-98,29,SEA,NBA,PG,1,1,24:00,3,7,0.429,1,3,0.333,0,0,NA,2,3,13,2,0,4,0,7
1999-00,31,SEA,NBA,PG,1,0,20:00,1,8,0.125,0,4,0,3,3,1,0,4,8,2,0,2,1,5
2000-01,32,SEA,NBA,PG,1,0,18:00,0,5,0,0,0,NA,0,0,NA,2,4,5,2,0,1,2,0
2001-02,33,SEA,NBA,PG,1,0,22:00,7,13,0.538,4,6,0.667,0,0,NA,0,1,6,3,0,3,1,18
2002-03,34,SEA,NBA,PG,1,0,15:00,4,6,0.667,0,1,0,0,0,NA,1,1,2,0,0,3,3,8
Career,NA,,NBA,,9,2,195,34,78,0.436,6,23,0.261,11,11,1,13,30,73,19,0,26,13,85
