Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Gary Payton,,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,5.4,4.1,3.9,3.4,1.3,NA,NA,NA
Clyde Drexler,92.7,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.8,6.7,6.7,6,2.4,NA,NA,NA,NA,NA
Steve Nash,89.7,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3,1,0.7,0.1,NA,NA
Ray Allen,86.8,13.7,11.1,10.7,10.1,10,9.7,9.5,9.1,8.9,7.9,7,6.9,6.3,5.4,5.2,4.9,4.7,4.1,NA,NA
Reggie Miller,86.5,12.5,12.3,12.1,12,11.7,11.4,11.3,11,10.3,10.3,10.1,9.5,8.9,7.4,6.6,6.5,6.4,4.2,NA,NA
Kobe Bryant,85.8,15.3,14.9,13.8,13,12.7,12.7,11.3,10.9,10.7,10.6,10.3,9.4,8.1,6.3,6.2,5.2,1.8,0.2,-0.4,-0.4
Chauncey Billups,85.2,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8,7.6,3.7,3,2.3,1.7,1.3,0.1,-0.3,NA,NA,NA
George Gervin,83.0,12,11.4,10.7,10.6,10.5,10.5,10,9.4,9.3,7.3,5.5,4.6,3,1.6,NA,NA,NA,NA,NA,NA
Dwyane Wade,82.7,14.7,14.4,13,12.8,11,9.6,8.8,7.7,5.5,4.9,4.6,3.5,3.4,3.3,2.4,1.1,NA,NA,NA,NA
Jerry West,79.8,17.1,16.7,15.2,14,13.3,12.9,12.8,11.7,10.8,10.6,9.6,8.1,6.6,3.2,NA,NA,NA,NA,NA,NA
Magic Johnson,77.9,16.5,16.1,15.9,15.4,12.9,12.7,12.5,12.1,10.9,10.5,10.2,6.4,3.6,NA,NA,NA,NA,NA,NA,NA
