Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Matt Bonner,,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2.1,2,1.8,0.8
Johnny Newman,91.6,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.7,2.3,0.3
Kurt Rambis,90.5,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.5,0.6
Harvey Grant,89.8,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7,NA
John Johnson,89.4,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2,0.2
Chris Morris,88.0,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1,NA
Antoine Carr,87.9,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,2.1,1.2,0.7
Tim Thomas,87.7,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,1.7,0.9
Bingo Smith,87.6,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,NA
Sam Mitchell,87.1,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.6
Rodney Rogers,86.9,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3
