,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,24,TOR,NBA,C,82,1553,,,2%,16%,82%,-1.6,-0.1,6,15,115,14,30,0,118,8,18
2005-06,25,TOR,NBA,PF,78,1710,,,25%,73%,2%,-4.6,-1.9,10,9,102,8,28,17,136,7,16
2006-07,26,SAS,NBA,PF,56,653,,,7%,92%,2%,+2.3,-8.3,8,3,34,4,14,1,52,4,7
2007-08,27,SAS,NBA,PF,68,853,,,1%,83%,15%,+4.7,-0.9,8,10,48,11,14,4,71,2,8
2008-09,28,SAS,NBA,PF,81,1928,,,,78%,22%,+8.3,+8.3,20,6,88,4,9,13,190,4,12
2009-10,29,SAS,NBA,PF,65,1161,,,,50%,50%,+8.3,+3.6,17,8,56,8,18,10,166,8,8
2010-11,30,SAS,NBA,PF,66,1432,,,,52%,48%,+7.8,+2.1,16,2,59,6,14,3,140,3,7
2011-12,31,SAS,NBA,PF,65,1326,,,,83%,17%,+13.4,+9.3,9,0,39,1,6,8,148,0,6
2012-13,32,SAS,NBA,PF,68,909,,,,58%,42%,+4.5,-3.0,10,1,43,2,6,4,88,0,3
2013-14,33,SAS,NBA,PF,61,690,,,,65%,35%,+6.3,-2.2,7,1,24,4,6,2,77,0,3
2014-15,34,SAS,NBA,PF,72,935,,,,81%,19%,+0.3,-8.1,4,4,35,2,10,2,110,1,8
2015-16,35,SAS,NBA,C,30,206,,,,48%,52%,+16.8,+5.6,2,1,8,0,1,0,22,0,2
Career,,,NBA,,792,13356,,,4%,64%,32%,+4.6,+1.2,117,60,651,64,156,64,1318,37,98
,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,SAS,NBA,,632,10093,,,1%,70%,29%,+7.2,+1.9,101,36,434,42,98,47,1064,22,64
2 seasons,,TOR,NBA,,160,3263,,,14%,46%,40%,-3.2,-1.0,16,24,217,22,58,17,254,15,34
