Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Walt Davis,,1.6,0.9,0.9,0.8,0.6
Rickey Brown,90.4,1.8,0.9,0.9,0.7,0.4
Aaron Gray,78.6,1.4,1.3,1.1,0.9,0.8
Johan Petro,77.6,1.7,1,0.8,0.4,0.2
John Lambert,77.5,1.8,1.5,1,0.9,0.7
Eric Leckner,76.7,1.7,1.5,0.9,0.9,0.2
Ryan Hollins,75.8,1.8,1.2,1.1,1,0.2
Jelani McCoy,75.0,1.5,1.4,1.1,1,0.1
Bill Wennington,74.8,1.3,1.2,0.9,0.5,0.4
Dick Cunningham,73.8,1.2,1,1,1,0
Jerome James,72.5,1.2,0.9,0.8,0.7,-0.1
