Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rodney Carney,,1.6,1.5,1.5,1.3,0.3
Jeff Grayer,94.0,1.8,1.5,1.5,1.5,0.2
John Wallace,85.1,1.6,1.5,1,1,0.3
Larry Staverman,84.0,1.6,1.6,1.4,1.2,1.1
Pete Chilcutt,79.4,2.1,1.5,1.4,1,0.7
Marc Iavaroni,78.7,1.5,1.4,1.1,1,0.7
Al Thornton,78.5,2.2,1.6,1.3,1.1,NA
Jason Smith,77.9,2.2,1.7,1.6,1.5,0.7
Togo Palazzi,77.4,2,1.7,1.6,0.8,0.6
Ed Manning,76.8,2.2,1.7,1.4,1.4,-0.3
Major Jones,76.3,1.3,1.3,1.2,0.9,0.1
