Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Rodney Carney,,1.6,1.5,1.5,1.3,0.3,NA,NA,NA,NA
Jerry Chambers,84.3,1.5,1.4,1.3,1.1,0,0,NA,NA,NA
Larry Staverman,84.0,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA
Al Thornton,78.5,2.2,1.6,1.3,1.1,NA,NA,NA,NA,NA
Togo Palazzi,75.0,2,1.7,1.6,0.8,0.6,-0.2,NA,NA,NA
Michael Ruffin,74.7,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Major Jones,72.9,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA
Thomas Robinson,72.9,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA,NA
Terry Driscoll,72.8,1.7,1.7,1.5,0.3,0,NA,NA,NA,NA
John Wallace,72.7,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA
Bob Brannum,71.9,2,1.6,1.1,0.8,0,NA,NA,NA,NA
