,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,24,DAL,NBA,SG,5,75,,71%,29%,,,+0.8,+6.2,2,0,6,0,1,0,7,0,3
2001-02,25,DAL,NBA,SG,7,105,1%,74%,25%,,,-2.4,-3.3,2,0,8,0,1,0,9,0,0
2002-03,26,PHI,NBA,SG,10,112,,69%,31%,,,-6.0,-8.7,2,1,5,0,2,0,7,0,1
2004-05,28,DEN,NBA,SG,5,100,,86%,14%,,,-16.2,-9.4,1,1,6,1,0,0,11,0,1
2005-06,29,DEN,NBA,SG,5,137,,90%,10%,,,-3.4,+12.9,1,0,5,0,2,0,12,0,2
2006-07,30,DAL,NBA,SG,6,44,,100%,,,,-18.7,-13.3,1,1,3,0,1,0,6,0,3
Career,,,NBA,,38,573,,80%,19%,,,-6.6,-1.1,9,3,33,1,7,0,52,0,10
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DAL,NBA,,18,224,,78%,22%,,,-4.5,-2.1,5,1,17,0,3,0,22,0,6
2 seasons,,DEN,NBA,,10,237,,88%,12%,,,-8.8,+3.5,2,1,11,1,2,0,23,0,3
1 season,,PHI,NBA,,10,112,,69%,31%,,,-6.0,-8.7,2,1,5,0,2,0,7,0,1
