Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Greg Buckner,,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1
Maurice Evans,92.3,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA
Carlos Arroyo,90.3,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA
Tom Henderson,89.6,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA
Lionel Hollins,89.4,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Jim Price,89.0,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA
Herm Gilliam,88.9,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA
Randy Foye,87.5,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1,0.4
Danny Young,87.1,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1
Keith Bogans,86.9,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0
Steve Blake,86.7,5.8,3.8,3.3,2.8,2.4,2.1,1.8,1,0.7,0.3
