Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ray Corley,,1.2,0,-0.4,NA,NA,NA
Nate Wolters,67.6,1.2,-0.1,-0.2,NA,NA,NA
Charles Smith,65.8,1.1,0,-0.2,NA,NA,NA
Orlando Johnson,61.7,1.5,0.1,-0.2,NA,NA,NA
Jack Garfinkel,48.1,1.1,0.3,-0.5,NA,NA,NA
Kyle Weaver,46.6,1.2,0.3,0,NA,NA,NA
Willie Jones,37.2,1.3,0,-0.1,-0.1,-0.2,NA
Greg Grant,34.0,1.4,0.2,0,0,0,-0.1
Lowes Moore,30.0,1.1,0.2,0.2,NA,NA,NA
Wayne Chapman,29.9,1,0.1,0,-0.1,NA,NA
Bernard Robinson,29.9,1.7,0.3,0.1,NA,NA,NA
