Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Steve Green,,1.2,1.1,0.7,0.4
Bill Hosket,90.4,1,1,0.6,0.5
Malik Allen,88.7,1.1,0.9,0.7,0.5
Chris Crawford,84.6,1.3,0.9,0.6,0.6
Chris Johnson,84.3,1.4,1.1,0.8,0.2
Jarell Martin,84.1,1.3,0.8,0.6,0.5
Yi Jianlian,84.0,1.3,0.7,0.7,0.4
Ray Tolbert,83.2,1.1,0.8,0.7,0.3
Charles Davis,81.0,1.5,1,0.9,0.3
Tommie Bowens,76.9,1.2,1.1,0.5,NA
Josh Powell,76.8,1.1,0.7,0.6,0.3
