Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Eric Mobley,,1.3,0.2,-0.4,NA,NA
Wallace Bryant,54.3,1.3,0,0,NA,NA
Wang Zhizhi,45.7,1.5,0.2,0.1,0.1,0.1
Daniel Santiago,41.7,1.2,0.6,0,0,NA
Josh Harrellson,40.7,1.4,0.7,0,NA,NA
Bernard James,39.1,1.2,0.5,0.1,NA,NA
Jason Collier,36.9,1.2,0.4,0.3,0,0
Ronald Taylor,36.7,1.7,0,-0.2,NA,NA
Bevo Nordmann,36.4,1.7,0.1,0.1,0,NA
Mike Novak,36.3,1.8,0.6,-0.2,NA,NA
Don Martin,35.9,1.6,-0.1,-0.2,NA,NA
