,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,20,MEM,NBA,PG,10,175,17%,83%,,,,+17.3,+23.9,5,2,10,3,10,6,77,2,3
2007-08,21,MEM,NBA,PG,82,2089,92%,8%,,,,-4.6,+4.4,60,30,75,22,144,48,724,25,66
2008-09,22,TOT,NBA,PG,77,1679,95%,5%,,,,-4.9,-5.4,54,30,59,16,98,34,613,20,44
2008-09,22,MEM,NBA,PG,49,1071,98%,2%,,,,-9.6,-5.2,36,23,40,8,68,22,392,15,30
2008-09,22,HOU,NBA,PG,28,608,88%,12%,,,,+3.4,-1.2,18,7,19,8,30,12,221,5,14
2009-10,23,HOU,NBA,PG,68,1651,55%,45%,,,,+2.5,+5.2,56,30,62,15,107,51,713,25,37
2010-11,24,HOU,NBA,PG,75,2563,92%,8%,,,,+5.7,+9.9,82,37,73,20,86,25,1172,19,43
2011-12,25,HOU,NBA,PG,47,1510,100%,,,,,+1.6,+2.4,72,30,47,15,69,26,695,14,35
2012-13,26,TOR,NBA,PG,68,2020,96%,4%,,,,+0.6,+4.5,101,28,91,11,80,28,965,13,44
2013-14,27,TOR,NBA,PG,79,2862,100%,,,,,+4.8,+4.3,116,42,85,20,118,48,1317,24,51
2014-15,28,TOR,NBA,PG,70,2414,100%,,,,,+3.6,+0.9,91,49,71,19,117,29,1080,24,57
2015-16,29,TOR,NBA,PG,77,2851,100%,,,,,+6.6,+6.3,109,77,81,20,177,29,1141,26,74
2016-17,30,TOR,NBA,PG,60,2244,98%,2%,,,,+8.2,+8.4,102,45,64,11,146,20,940,39,57
2017-18,31,TOR,NBA,PG,78,2510,82%,18%,,,,+7.7,-0.8,127,33,68,8,101,20,1209,25,43
2018-19,32,TOR,NBA,PG,65,2213,70%,30%,,,,+11.4,+12.3,135,24,60,11,69,48,1282,18,30
2019-20,33,TOR,NBA,PG,52,1901,100%,,,,,+6.5,-0.9,97,28,75,14,103,47,915,20,40
Career,,,NBA,,908,28682,91%,9%,,,,+4.3,+4.4,1207,485,921,205,1425,459,12843,294,624
,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,TOR,NBA,,549,19015,94%,6%,,,,+6.2,+4.4,878,326,595,114,911,269,8849,189,396
4 seasons,,HOU,NBA,,218,6332,84%,16%,,,,+3.7,+5.8,228,104,201,58,292,114,2801,63,129
3 seasons,,MEM,NBA,,141,3335,90%,10%,,,,-5.1,+2.3,101,55,125,33,222,76,1193,42,99
