Season,Team,Lg,Salary
2006-07,Memphis Grizzlies,NBA,"$1,011,720"
2007-08,Memphis Grizzlies,NBA,"$1,087,680"
2008-09,Houston Rockets,NBA,"$1,163,520"
2009-10,Houston Rockets,NBA,"$2,034,997"
2010-11,Houston Rockets,NBA,"$5,750,000"
2011-12,Houston Rockets,NBA,"$5,750,000"
2012-13,Toronto Raptors,NBA,"$5,750,000"
2013-14,Toronto Raptors,NBA,"$6,210,000"
2014-15,Toronto Raptors,NBA,"$12,000,000"
2015-16,Toronto Raptors,NBA,"$12,000,000"
2016-17,Toronto Raptors,NBA,"$12,000,000"
2017-18,Toronto Raptors,NBA,"$28,703,704"
2018-19,Toronto Raptors,NBA,"$31,200,000"
Career,(may be incomplete),,"$124,661,621"
