Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Larry Johnson,,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9
David Lee,93.6,10.3,9.1,9,7.6,7.4,6.9,6,5,3.2,2.7
John Drew,93.3,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3
P.J. Brown,92.8,10.2,8.2,8,7.5,7.5,6.9,5.3,5.1,4.6,4.2
Jack Twyman,92.7,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9
Shareef Abdur-Rahim,92.5,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9
Rasheed Wallace,91.9,11,9.7,9.3,8.5,7.6,7.1,6.4,6.2,5,2.3
Carlos Boozer,91.6,10.2,9.9,9.9,9.4,7.6,5.9,5.8,4.1,3.5,2.6
Carmelo Anthony,91.0,9.5,9.4,8.2,7.9,7.9,7.3,6.2,6.1,5,4.9
Otis Thorpe,90.7,10.4,9.8,9,8.9,8.7,8.5,8.1,6,4,3.8
Alex English,90.1,10.3,9.8,9.5,8.9,8.3,8.2,7,5.3,4,1.2
