Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Roy Tarpley,,7.8,3.5,3.1,2.8,2,0.6,NA,NA,NA,NA
Chick Halbert,83.7,7.4,3.6,3.3,2.9,NA,NA,NA,NA,NA,NA
Tom Burleson,82.0,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA,NA,NA
Dewayne Dedmon,76.2,5.2,4,3.7,2.4,1.7,0.6,NA,NA,NA,NA
Bill McGill,74.0,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA,NA,NA
Zaid Abdul-Aziz,73.7,6.5,3.7,2,1.9,1.8,1,0.6,0.3,0.1,-0.3
Tim McCormick,73.4,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA,NA
John Henson,73.3,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA
Blair Rasmussen,73.2,5.2,4.2,3.3,3,1.8,1.7,0,-0.1,NA,NA
Randy Denton,73.1,5.5,4.3,3.9,3.1,3,0.4,NA,NA,NA,NA
Rick Robey,73.0,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,NA,NA
