Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Roy Tarpley,,7.8,3.5,3.1,2.8,2,0.6
Marvin Webster,87.1,8.7,3.9,2.8,2.7,1.3,0.2
Leroy Ellis,85.2,6.4,3.8,3.2,2.8,2.3,1.6
Elden Campbell,85.0,8.2,4.2,3.8,3.3,2.6,1.1
Chick Halbert,83.7,7.4,3.6,3.3,2.9,NA,NA
Bismack Biyombo,82.0,5.9,4,3.2,2.9,1.4,0.6
Andrew Lang,81.5,5.7,3.7,3,2.9,1.7,1.4
Tom Burleson,81.3,8.2,4.4,4.3,3.3,2.7,-0.1
Kent Benson,78.5,6.4,5.2,3.2,3.1,1.7,1.1
Rasho Nesterović,78.1,7.2,5.2,4.1,3,1.5,0
Connie Simmons,77.1,6.1,5.3,3.3,2.6,2.4,1.1
