Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Willie Cauley-Stein,,6.7,3.9,3.8,2.9,NA,NA
Randolph Mahaffey,86.9,5.7,4.7,3.7,2.6,NA,NA
Ernie Vandeweghe,86.2,7.1,4.8,3.9,2.1,0.3,-0.1
Vince Boryla,84.8,7.4,3.9,3.6,2.1,-1,NA
Jared Sullinger,84.7,4.8,4,3.9,2.7,-0.1,NA
Kyle Anderson,84.3,6.2,3.5,2.7,2.7,0.3,NA
Larry Nance,82.7,5.8,4.9,3.5,2.2,NA,NA
Robert Covington,79.9,6.1,4,3.1,2.5,2,0.1
Keon Clark,79.4,5.3,4.7,4.2,3.7,0.2,0
Jack Kerris,79.4,5.9,5.7,4.1,2.1,NA,NA
Aaron Gordon,79.3,5.4,5.1,3.7,2.9,1,NA
