,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2012-13,20,ULALA,33,1025,195,453,33,106,88,127,102,337,32,27,65,86,95,511,.430,.311,.693,31.1,15.5,10.2,1.0
2013-14,21,ULALA,34,999,239,458,33,78,120,178,121,353,19,23,91,73,119,631,.522,.423,.674,29.4,18.6,10.4,0.6
2014-15,22,ULALA,34,951,205,378,28,77,120,182,103,346,50,22,56,78,106,558,.542,.364,.659,28.0,16.4,10.2,1.5
2015-16,23,ULALA,34,1042,232,443,18,67,160,235,137,411,47,24,61,91,95,642,.524,.269,.681,30.6,18.9,12.1,1.4
Career,,,135,4017,871,1732,112,328,488,722,463,1447,148,96,273,328,415,2342,.503,.341,.676,29.8,17.3,10.7,1.1
