Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tom Boswell,,5.6,3.7,2.7,2.4,0.6,0.2
Monk Meineke,91.4,6.1,3.7,2.6,1.8,0.7,NA
George Irvine,90.9,5.5,3.7,3.2,2.5,1.2,0
Amir Johnson,90.1,5.6,4.5,3,2.7,0.5,0.2
Kyle Anderson,89.5,6.2,3.5,2.7,2.7,0.3,NA
JaMychal Green,89.4,5.8,2.9,2.6,2.6,0.4,NA
Jim Baechtold,89.1,6,3.2,2.6,2.1,0.9,NA
Austin Croshere,89.1,5.4,3.2,2.6,2,0.3,0
Gary Trent,88.7,5.5,4,3.1,1.7,0.4,0.1
Walt Budko,88.2,5.6,4,2.7,1.5,NA,NA
Rod Higgins,88.0,5.7,3.8,3.7,2,1,0.1
