Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BAL,NBA,SF,41,NA,335,4.9,11.9,0.414,NA,NA,NA,4.9,11.9,0.414,4.8,6.8,0.714,NA,NA,9,2,NA,3.9,14.7
1965-66,23,BAL,NBA,SF,3,NA,15,4.8,14.4,0.333,NA,NA,NA,4.8,14.4,0.333,7.2,9.6,0.75,NA,NA,19.2,2.4,NA,2.4,16.8
1967-68,25,OAK,ABA,PF,49,NA,1052,6.8,15.1,0.452,0,0.1,0,6.8,14.9,0.456,7.6,9.7,0.781,NA,NA,9.9,1.7,2.8,4.5,21.2
1968-69,26,OAK,ABA,PF,75,NA,2249,8.3,16.7,0.497,0,0.1,0.143,8.3,16.6,0.499,5.8,7.1,0.82,3.2,6.1,9.2,1.4,2.8,3.9,22.4
1969-70,27,WSA,ABA,PF,60,NA,1239,8.5,17.7,0.48,0,0.1,0,8.5,17.5,0.484,6.3,7.6,0.828,2.7,7.1,9.8,1.6,3.5,5.3,23.3
1970-71,28,TOT,ABA,,26,NA,321,5.8,14.2,0.409,0,0.2,0,5.8,14,0.416,4.4,6.5,0.672,4.4,7.3,11.7,1.6,2.8,4.6,16
1970-71,28,CAR,ABA,,7,NA,114,5.4,14.2,0.378,0,0.3,0,5.4,13.9,0.386,3.2,5.7,0.556,4.1,8.8,12.9,0.6,3.8,4.7,13.9
1970-71,28,TEX,ABA,,19,NA,207,6.1,14.3,0.427,0,0.2,0,6.1,14.1,0.432,5,7,0.725,4.5,6.4,11,2.1,2.3,4.5,17.2
Career,NA,,TOT,,254,NA,5211,7.7,16.1,0.475,0,0.1,0.056,7.6,16,0.478,6.1,7.7,0.798,3.1,6.5,9.7,1.6,3,4.4,21.5
,NA,,ABA,,210,NA,4861,7.9,16.4,0.478,0,0.1,0.056,7.8,16.3,0.482,6.2,7.8,0.803,3.1,6.5,9.7,1.5,3,4.4,21.9
,NA,,NBA,,44,NA,350,4.9,12,0.41,NA,NA,NA,4.9,12,0.41,4.9,6.9,0.716,NA,NA,9.5,2.1,NA,3.8,14.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA",ABA,,184,NA,4540,8,16.6,0.483,0,0.1,0.063,8,16.4,0.486,6.4,7.8,0.811,3,6.4,9.5,1.5,3,4.4,22.4
2 seasons,NA,BAL,NBA,,44,NA,350,4.9,12,0.41,NA,NA,NA,4.9,12,0.41,4.9,6.9,0.716,NA,NA,9.5,2.1,NA,3.8,14.8
1 season,NA,TEX,ABA,,19,NA,207,6.1,14.3,0.427,0,0.2,0,6.1,14.1,0.432,5,7,0.725,4.5,6.4,11,2.1,2.3,4.5,17.2
1 season,NA,CAR,ABA,,7,NA,114,5.4,14.2,0.378,0,0.3,0,5.4,13.9,0.386,3.2,5.7,0.556,4.1,8.8,12.9,0.6,3.8,4.7,13.9
