Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BAL,NBA,SF,41,NA,335,46,111,0.414,NA,NA,NA,46,111,0.414,0.414,45,63,0.714,NA,NA,84,19,NA,36,137
1965-66,23,BAL,NBA,SF,3,NA,15,2,6,0.333,NA,NA,NA,2,6,0.333,0.333,3,4,0.75,NA,NA,8,1,NA,1,7
1967-68,25,OAK,ABA,PF,49,NA,1052,199,440,0.452,0,4,0,199,436,0.456,0.452,221,283,0.781,NA,NA,289,51,81,131,619
1968-69,26,OAK,ABA,PF,75,NA,2249,517,1041,0.497,1,7,0.143,516,1034,0.499,0.497,364,444,0.82,198,379,577,88,175,244,1399
1969-70,27,WSA,ABA,PF,60,NA,1239,292,608,0.48,0,5,0,292,603,0.484,0.48,217,262,0.828,93,243,336,54,122,181,801
1970-71,28,TOT,ABA,,26,NA,321,52,127,0.409,0,2,0,52,125,0.416,0.409,39,58,0.672,39,65,104,14,25,41,143
1970-71,28,CAR,ABA,,7,NA,114,17,45,0.378,0,1,0,17,44,0.386,0.378,10,18,0.556,13,28,41,2,12,15,44
1970-71,28,TEX,ABA,,19,NA,207,35,82,0.427,0,1,0,35,81,0.432,0.427,29,40,0.725,26,37,63,12,13,26,99
Career,NA,,TOT,,254,NA,5211,1108,2333,0.475,1,18,0.056,1107,2315,0.478,0.475,889,1114,0.798,330,687,1398,227,403,634,3106
,NA,,ABA,,210,NA,4861,1060,2216,0.478,1,18,0.056,1059,2198,0.482,0.479,841,1047,0.803,330,687,1306,207,403,597,2962
,NA,,NBA,,44,NA,350,48,117,0.41,NA,NA,NA,48,117,0.41,0.41,48,67,0.716,NA,NA,92,20,NA,37,144
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA",ABA,,184,NA,4540,1008,2089,0.483,1,16,0.063,1007,2073,0.486,0.483,802,989,0.811,291,622,1202,193,378,556,2819
2 seasons,NA,BAL,NBA,,44,NA,350,48,117,0.41,NA,NA,NA,48,117,0.41,0.41,48,67,0.716,NA,NA,92,20,NA,37,144
1 season,NA,TEX,ABA,,19,NA,207,35,82,0.427,0,1,0,35,81,0.432,0.427,29,40,0.725,26,37,63,12,13,26,99
1 season,NA,CAR,ABA,,7,NA,114,17,45,0.378,0,1,0,17,44,0.386,0.378,10,18,0.556,13,28,41,2,12,15,44
