,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BAL,NBA,,5,,,,,,5,7,,,,,,,13
1965-66,23,BAL,NBA,,2,5,,,,,2,2,,,6,1,,1,5
1967-68,25,OAK,ABA,,11,,0,,,,12,14,,,,,,,32
1968-69,26,OAK,ABA,,16,,1,,,,12,14,,,,,,,43
1969-70,27,WSA,ABA,,14,,0,,,,11,12,,,,,,,36
1970-71,28,TOT,ABA,,8,,0,,,,10,11,,,,,,,19
1970-71,28,CAR,ABA,,6,,0,,,,6,11,,,,,,,12
1970-71,28,TEX,ABA,,8,,0,,,,10,11,,,,,,,19
Career,,,TOT,,16,,,,,,12,14,,,,,,,43
,,,NBA,,5,,,,,,5,7,,,,,,,13
,,,ABA,,16,,1,,,,12,14,,,,,,,43
,,,,,,,,,,,,,,,,,,,
3 Seasons,,"OAK,WSA",ABA,,16,,1,,,,12,14,,,,,,,43
2 Seasons,,BAL,NBA,,5,,,,,,5,7,,,,,,,13
1 Season,,TEX,ABA,,8,,0,,,,10,11,,,,,,,19
1 Season,,CAR,ABA,,6,,0,,,,6,11,,,,,,,12
