Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gary Bradds,,8,3.6,3.4,0.5,0.3,0
Bones McKinney,80.5,7.1,4.9,3.3,0.2,0,-0.2
Willie Murrell,79.9,7,4.6,3.1,NA,NA,NA
Montrezl Harrell,78.2,8.7,5.5,4.1,0.9,NA,NA
Vince Boryla,77.2,7.4,3.9,3.6,2.1,-1,NA
Terrence Jones,74.9,7.3,3,2.3,1.5,0.7,-0.1
Ernie Vandeweghe,74.6,7.1,4.8,3.9,2.1,0.3,-0.1
Johnny Norlander,73.4,9.7,5.8,4.2,0.6,0.2,NA
Willie Cauley-Stein,72.8,6.7,3.9,3.8,2.9,NA,NA
Art Heyman,72.7,8.5,6.1,2.7,1.3,0.6,0
Jerami Grant,71.7,7.3,5.4,2.9,2.1,0.5,NA
