,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BAL,NBA,,2,3,,,,,2,2,,,2,0,,0,6
1968-69,26,OAK,ABA,,16,,0,,,,15,18,,,,,,,40
1969-70,27,WSA,ABA,,7,,1,,,,2,4,,,,,,,15
Career,,,TOT,,16,,,,,,15,18,,,,,,,40
,,,NBA,,2,3,,,,,2,2,,,2,0,,0,6
,,,ABA,,16,,1,,,,15,18,,,,,,,40
,,,,,,,,,,,,,,,,,,,
2 Seasons,,"OAK,WSA",ABA,,16,,1,,,,15,18,,,,,,,40
1 Season,,BAL,NBA,,2,3,,,,,2,2,,,2,0,,0,6
