Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gary Bradds,,8,3.6,3.4,0.5,0.3,0
Bones McKinney,80.5,7.1,4.9,3.3,0.2,0,-0.2
Willie Murrell,79.9,7,4.6,3.1,NA,NA,NA
Montrezl Harrell,78.2,8.7,5.5,4.1,0.9,NA,NA
Vince Boryla,77.2,7.4,3.9,3.6,2.1,-1,NA
DeMarre Carroll,76.3,7,5.8,3.1,0.5,0.5,0.1
Pervis Ellison,76.0,6.9,4,3.9,1.8,0.7,0.4
Paul Silas,75.9,6.9,3.3,3.3,1.8,1.2,0.5
Kurt Thomas,75.6,8.2,5.2,3.8,2.5,0.5,-0.2
Terrence Jones,74.9,7.3,3,2.3,1.5,0.7,-0.1
Dave Gambee,74.8,7,5.3,3.3,1.6,0,NA
