Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BAL,NBA,SF,41,,8.2,1.1,2.7,.414,,,,1.1,2.7,.414,.414,1.1,1.5,.714,,,2.0,0.5,,0.9,3.3
1965-66,23,BAL,NBA,SF,3,,5.0,0.7,2.0,.333,,,,0.7,2.0,.333,.333,1.0,1.3,.750,,,2.7,0.3,,0.3,2.3
1966-67,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,25,OAK,ABA,PF,49,,21.5,4.1,9.0,.452,0.0,0.1,.000,4.1,8.9,.456,.452,4.5,5.8,.781,,,5.9,1.0,1.7,2.7,12.6
1968-69,26,OAK,ABA,PF,75,,30.0,6.9,13.9,.497,0.0,0.1,.143,6.9,13.8,.499,.497,4.9,5.9,.820,2.6,5.1,7.7,1.2,2.3,3.3,18.7
1969-70,27,WSA,ABA,PF,60,,20.7,4.9,10.1,.480,0.0,0.1,.000,4.9,10.1,.484,.480,3.6,4.4,.828,1.6,4.1,5.6,0.9,2.0,3.0,13.4
1970-71,28,TOT,ABA,,26,,12.3,2.0,4.9,.409,0.0,0.1,.000,2.0,4.8,.416,.409,1.5,2.2,.672,1.5,2.5,4.0,0.5,1.0,1.6,5.5
1970-71,28,CAR,ABA,,7,,16.3,2.4,6.4,.378,0.0,0.1,.000,2.4,6.3,.386,.378,1.4,2.6,.556,1.9,4.0,5.9,0.3,1.7,2.1,6.3
1970-71,28,TEX,ABA,,19,,10.9,1.8,4.3,.427,0.0,0.1,.000,1.8,4.3,.432,.427,1.5,2.1,.725,1.4,1.9,3.3,0.6,0.7,1.4,5.2
Career,NA,,TOT,,254,,20.5,4.4,9.2,.475,0.0,0.1,.056,4.4,9.1,.478,.475,3.5,4.4,.798,2.0,4.3,5.5,0.9,1.9,2.5,12.2
,NA,,ABA,,210,,23.1,5.0,10.6,.478,0.0,0.1,.056,5.0,10.5,.482,.479,4.0,5.0,.803,2.0,4.3,6.2,1.0,1.9,2.8,14.1
,NA,,NBA,,44,,8.0,1.1,2.7,.410,,,,1.1,2.7,.410,.410,1.1,1.5,.716,,,2.1,0.5,,0.8,3.3
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,NA,"OAK,WSA",ABA,,184,,24.7,5.5,11.4,.483,0.0,0.1,.063,5.5,11.3,.486,.483,4.4,5.4,.811,2.2,4.6,6.5,1.0,2.1,3.0,15.3
2 seasons,NA,BAL,NBA,,44,,8.0,1.1,2.7,.410,,,,1.1,2.7,.410,.410,1.1,1.5,.716,,,2.1,0.5,,0.8,3.3
1 season,NA,TEX,ABA,,19,,10.9,1.8,4.3,.427,0.0,0.1,.000,1.8,4.3,.432,.427,1.5,2.1,.725,1.4,1.9,3.3,0.6,0.7,1.4,5.2
1 season,NA,CAR,ABA,,7,,16.3,2.4,6.4,.378,0.0,0.1,.000,2.4,6.3,.386,.378,1.4,2.6,.556,1.9,4.0,5.9,0.3,1.7,2.1,6.3
