Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1964-65,22,BAL,NBA,SF,41,335,13.1,0.494,NA,0.568,NA,NA,NA,7.6,NA,NA,NA,0.4,0.1,0.5,0.067
1965-66,23,BAL,NBA,SF,3,15,18,0.451,NA,0.667,NA,NA,NA,8.3,NA,NA,NA,0,0,0,0.057
1967-68,25,OAK,ABA,PF,49,1052,21,0.548,0.009,0.643,NA,NA,11.9,7.3,12.5,22.3,NA,3.2,0.3,3.4,0.157
1968-69,26,OAK,ABA,PF,75,2249,19.7,0.566,0.007,0.427,NA,NA,11.3,5.4,12.4,21.5,NA,6.1,1.9,8,0.171
1969-70,27,WSA,ABA,PF,60,1239,18.5,0.554,0.008,0.431,NA,NA,11.9,6.4,14.4,24.3,NA,3.2,0.4,3.6,0.138
1970-71,28,TOT,ABA,,26,321,12.7,0.469,0.016,0.457,NA,NA,14.2,5.4,14.1,19.7,NA,0,0.3,0.3,0.038
1970-71,28,CAR,ABA,,7,114,8.2,0.416,0.022,0.4,NA,NA,16.3,2.2,18.5,20.6,NA,-0.2,0.1,-0.1,-0.025
1970-71,28,TEX,ABA,,19,207,15.1,0.497,0.012,0.488,NA,NA,13,7.2,11.5,19.1,NA,0.1,0.2,0.3,0.072
Career,NA,,TOT,,254,5211,18.8,0.55,0.008,0.477,NA,NA,11.8,6.2,13.1,22.2,NA,12.8,3,15.8,0.145
,NA,,ABA,,210,4861,19.2,0.553,0.008,0.472,NA,NA,11.8,6,13.1,22.2,NA,12.4,2.9,15.3,0.151
,NA,,NBA,,44,350,13.3,0.492,NA,0.573,NA,NA,NA,7.6,NA,NA,NA,0.4,0.1,0.5,0.067
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA",ABA,,184,4540,19.7,0.558,0.008,0.473,NA,NA,11.6,6.1,13,22.4,NA,12.5,2.6,15.1,0.159
2 seasons,NA,BAL,NBA,,44,350,13.3,0.492,NA,0.573,NA,NA,NA,7.6,NA,NA,NA,0.4,0.1,0.5,0.067
1 season,NA,TEX,ABA,,19,207,15.1,0.497,0.012,0.488,NA,NA,13,7.2,11.5,19.1,NA,0.1,0.2,0.3,0.072
1 season,NA,CAR,ABA,,7,114,8.2,0.416,0.022,0.4,NA,NA,16.3,2.2,18.5,20.6,NA,-0.2,0.1,-0.1,-0.025
